pes,sobbs,pacs,spa
2,1.642857143,4,2.3
4,1.857142857,2.8,2.5
2,2.571428571,2.2,2.3
1.8,2.928571429,4.2,3.2
1.4,1.928571429,3.4,2.2
1.2,2.214285714,3.2,2.1
1,1,2.6,1.5
2,2.357142857,2.6,2.8
2.2,3,3.6,2.8
2.2,2.857142857,3.8,2.6
1.8,2.428571429,2.8,2.8
1.2,1.785714286,2.6,2.5
1.6,2.214285714,2.6,2.6
1,3.5,3.2,2.8
3.4,3.428571429,4.2,2.9
2.8,2.571428571,3,2.7
2,1.5,2.2,2.4
1.8,1.071428571,2.6,2.4
1.6,1.928571429,2.4,2.4
1.6,2.714285714,3.6,2.2
1.4,2.714285714,3,2.8
1.8,1.857142857,3.2,2.1
2.6,2.142857143,3.4,3
1.8,2.214285714,2.8,2.5
2.2,1.571428571,1.4,1.8
2.4,1.785714286,3.8,2.2
1.4,2.285714286,2.4,2.8
1.4,3.214285714,4.4,2.6
1,1,1,1
2.2,2.928571429,3.4,2.9
1.8,1.571428571,2.6,2.1
1.2,2.571428571,2,2.4
3.2,3.642857143,3.8,2.9
1,2.714285714,3,2.6
5,4,5,4
1.8,2.071428571,3.2,2.1
1.4,1.785714286,2.2,2.1
1.8,1.642857143,2.4,2.1
1,1.357142857,2,2.2
3.4,3.071428571,4.4,2.4
2.4,4,4.2,2.6
1.2,3.571428571,3.8,3.2
1.4,1.642857143,2.6,2.2
1.6,2.357142857,3,2.6
3,2.928571429,4.2,2.6
3.4,3.214285714,3.2,2.7
1.2,3.5,2.6,3
1.8,3.071428571,3.4,3.1
1.8,1,2.8,2.5
1.2,1.928571429,2.8,2.4
3.2,1.642857143,1,2
1.6,1.857142857,2.2,2.2
1.2,3.214285714,3.6,2.4
2.6,2.142857143,2.8,2.2
2.2,3.642857143,4.6,2.5
2,2.285714286,2.6,2.1
1.6,2.857142857,3.4,1.9
4.2,3.142857143,3.6,2.9
1.8,2,2.6,2.1
1.6,1.714285714,2.6,2.4
2,3,4,2.8
1,1.642857143,3.2,2.4
2.2,2.857142857,2.8,2.3
3.6,3.5,4,3.2
2.2,2.5,2.8,2.9
1,3,4,2.7
1.6,1.928571429,2.2,1.8
1.8,2.5,3.4,2.3
